Name,Address,RATING,CURRENT,RISK
Scooter's Coffeehouse,7595 Pacific ST,EXCELLENT,2/7/2018,LOW
Scooter's Coffeehouse,6110 IRVINGTON RD,EXCELLENT,4/19/2018,LOW
Scooter's Coffeehouse,12246 W Center,EXCELLENT,4/20/2018,LOW
SCORZ SPORTS CENTER,7602 MAIN ST - RALSTON,FAIR,8/24/2018,HIGH
SCOTT RESIDENCE HALL,6510 PINE ST,EXCELLENT,1/15/2019,HIGH
SCRIPTOWN BREWERY,3922 FARNAM ST,EXCELLENT,1/5/2018,MEDIUM
SEAN O'CASEY,2523 S 140 AVE,STANDARD,10/12/2018,HIGH
SECONDARY SUCCESS PROGRAM,3030 SPAULDING ST,EXCELLENT,1/10/2019,HIGH
SELECT MART,2401 LEAVENWORTH,STANDARD,8/24/2018,LOW
SELECT MART,2411 N 30 ST,EXCELLENT,9/25/2018,LOW
SELENA'S MARKET INC,3228 CALIFORNIA ST,STANDARD,5/16/2018,MEDIUM
Serendipity Chocolate (Mobile 1), 3599 County Road F  Tekamah ,EXCELLENT,5/4/2018,MEDIUM
Serendipity Chocolate (Mobile 2), 3599 County Road F  Tekamah ,EXCELLENT,5/4/2018,MEDIUM
Serendipity Chocolate (Mobile 3), 3599 County Road F  Tekamah ,STANDARD,,MEDIUM
Sergent Brown Mobile, 2620 River Road D  Waterloo ,STANDARD,8/6/2018,MEDIUM
Session Room (The),812 N 14th St,STANDARD,9/21/2018,HIGH
Seven Oaks Lunch Club,3439 State St,EXCELLENT,5/29/2018,MEDIUM
Seymour Elementary,4900 S 79 ST,SUPERIOR,10/1/2018,HIGH
Seymour Smith Field,68th & Harrison,STANDARD,7/13/2018,MEDIUM
Sgt. Peffer's,1501 N Saddle Crk,EXCELLENT,10/24/2018,HIGH
Sgt. Peffer's Italian Cafe-Millard,13760 Millard AVE,EXCELLENT,9/26/2018,HIGH
SHADOW RIDGE COUNTRY CLUB,1501 S 188 PLZ,EXCELLENT,12/18/2018,HIGH
Shahi,1015 Farnam St,STANDARD,11/30/2018,HIGH
Shake Life,1517 N 203rd St,EXCELLENT,11/29/2017,LOW
Shandy's Bakery,13811 T Plz,STANDARD,1/7/2019,MEDIUM
SHANGHAI GARDEN,3118 S 24 ST,EXCELLENT,11/7/2018,HIGH
SHELLY'S DIPPIN DOTS,10000 CALIFORNIA ST,STANDARD,1/9/2018,LOW
SHELLY'S DIPPIN DOTS @ BAXTER ARENA,2425 S 67 St,STANDARD,,LOW
SHELTERBELT THEATRE,3225 CALIFORNIA ST,EXCELLENT,10/30/2017,LOW
Sheraton Omaha Hotel,655 N 108th Ave,STANDARD,10/17/2018,HIGH
SHERMAN ELEMENTARY,5618 N 14 AVE,SUPERIOR,9/10/2018,HIGH
SHEVY'S SPORTS & STEAKS,2607 MAIN ST,EXCELLENT,10/15/2018,HIGH
SHIRLEYS DINER,13838 R PLZ,STANDARD,9/26/2018,HIGH
SHOPKO STORES #156,14445 W CENTER RD,EXCELLENT,1/23/2018,LOW
Shucks Downtown LLC,1911 Leavenworth ST,EXCELLENT,1/17/2019,HIGH
Shuck's Legacy LLC,16901 Wright Plaza #198,EXCELLENT,9/20/2018,HIGH
SIENNA/FRANCIS HOUSE,1111 N 17 ST,STANDARD,8/3/2018,HIGH
Simply Delicious Restaurant,215 N Spruce ST,EXCELLENT,12/27/2018,HIGH
SINCLAIR,5215 N 16 ST,STANDARD,7/10/2018,LOW
SKATE DAZE,3616 S 132 ST,STANDARD,7/5/2018,MEDIUM
SKEETS RIBS & CHICKEN,2201 N 24 ST,STANDARD,10/24/2018,HIGH
SKINNER ELEMENTARY SCHOOL,4304 N 33 ST,EXCELLENT,10/16/2018,HIGH
Sky Zone Omaha,4215 S 133rd ST,EXCELLENT,7/24/2018,MEDIUM
Skybox Grill & Bar,6720 S 168th ST STE 5,EXCELLENT,7/13/2018,HIGH
Skyline Elementary,400 S 210th,EXCELLENT,9/25/2018,HIGH
Skyline Retirement Community,7350 Graceland Dr,STANDARD,10/31/2018,HIGH
SLEEPLESS FROM SEATTLE,1601 DODGE ST,EXCELLENT,2/8/2018,MEDIUM
Slowdown,729 N 14th ST,EXCELLENT,4/18/2018,LOW
SMASHBURGER,7204 JONES ST,EXCELLENT,9/21/2018,HIGH
SMASHBURGER,12330 K PLZ STE 101,EXCELLENT,5/10/2018,MEDIUM
SMITTY'S GARAGE,7610 DODGE,EXCELLENT,9/24/2018,HIGH
SMOKIN BARREL,13510 Discovery Dr,STANDARD,,HIGH
SMOKIN BUTTS SANDWICH SHOP (MOBILE),4830 S 21ST,STANDARD,8/7/2018,MEDIUM
SMOKIN LEFTY'S BBQ (MOBILE),4936 S 135 ST,EXCELLENT,5/1/2018,HIGH
Smoking Gunz BBQ (Mobile),4724 N 24th St,EXCELLENT,5/9/2018,MEDIUM
SMOKING JAY'S,2524 S 13 ST,EXCELLENT,9/17/2018,HIGH
SMOKING JAY'S (Mobile),2524 S 13 ST,STANDARD,7/28/2018,MEDIUM
SMOOTHIE KING,8900 W CENTER RD STE 101,EXCELLENT,5/1/2018,MEDIUM
SMOOTHIE KING,17810 PIERCE PLZ,STANDARD,5/30/2018,MEDIUM
Smoothie King,4004 N 132nd St,EXCELLENT,11/1/2018,MEDIUM
Smoothie Truck (The),7129 Harrison St,STANDARD,,MEDIUM
Sno Floss of Omaha,7300 Q St,STANDARD,3/25/2018,MEDIUM
Snomaha,8501 N 30,EXCELLENT,12/13/2018,MEDIUM
SNOSHACK OF OMAHA,1818 BINFIELD ST,EXCELLENT,8/18/2017,MEDIUM
Snow Daze,4702 S 27th St,STANDARD,7/31/2018,LOW
Snowland, 3001 S 144th St  Ste 2029 ,EXCELLENT,1/9/2019,MEDIUM
Sociable Inn,4917 S 136th,EXCELLENT,8/7/2018,LOW
Soco Care,4724 N 24th St,,,MEDIUM
Sodexo - Morrison Stadium,1718 Cass St,EXCELLENT,11/7/2018,MEDIUM
Sodexo - Starbucks @ Creighton,2400 Cass,EXCELLENT,9/12/2018,MEDIUM
Sodexo at NE Med Ctr Village Point,111 N 175th ST,STANDARD,7/12/2018,MEDIUM
SONESTA ES SUITES OF OMAHA,6990 DODGE ST,EXCELLENT,4/16/2018,MEDIUM
Sonic Drive In,4565 Cuming ST,FAIR,4/24/2018,MEDIUM
Sonic Drive In,3505 N 90th ST,STANDARD,5/15/2018,MEDIUM
Sonic Drive In,5214 N 30th ST,FAIR,5/29/2018,MEDIUM
Sonic Drive In,15415 Weir ST,EXCELLENT,7/11/2018,MEDIUM
Sonic Drive In,14598 W Maple RD,EXCELLENT,8/22/2018,MEDIUM
Sonic Drive In,18605 W Center,EXCELLENT,9/20/2018,MEDIUM
Sonic Drive In,4302 L ST,EXCELLENT,10/9/2018,MEDIUM
SONS OF ITALY,1238 S 10 ST,EXCELLENT,12/1/2016,HIGH
South High School,4519 S 24th,SUPERIOR,11/27/2018,HIGH
South Omaha Boys Club,5051 S 22nd,STANDARD,12/28/2018,HIGH
SOUTH OMAHA'S FINEST TEQUILA,4971 Q ST,EXCELLENT,12/21/2018,LOW
Southern Glazers Wine and Spirts of Nebraska,4433 S 96TH ST,STANDARD,9/25/2017,LOW
Southern Spoon,210 S 16th St,EXCELLENT,12/6/2018,HIGH
SOZO COFFEE HOUSE,1314 JONES ST,EXCELLENT,10/25/2018,MEDIUM
SPARTA,3352 N 108 ST,EXCELLENT,4/5/2018,MEDIUM
Speedee Mart #2725,13235 Grover ST,EXCELLENT,12/4/2017,LOW
Speedee Mart #2730,4334 S 84th,STANDARD,5/18/2018,MEDIUM
Speedee Mart #2732,8724 N 30th ST,EXCELLENT,10/10/2018,MEDIUM
Speedee Mart #2745,2920 S 120th ST,EXCELLENT,1/22/2018,LOW
Speedee Mart #2761,5205 S 72nd,FAIR,7/23/2018,MEDIUM
Speedee Mart #2762,13804 Manderson CIR,EXCELLENT,2/14/2018,MEDIUM
Speedy Gas N Shop,5822 Maple St,STANDARD,1/4/2018,LOW
SPENCERS FOR STEAKS AND CHOPS,102 S 10 ST,STANDARD,8/21/2018,HIGH
SPEZIA,3125 S 72 ST,EXCELLENT,7/26/2018,HIGH
Spice C Noodle House,510 S 13th St,STANDARD,7/10/2018,HIGH
SPIELBOUND BOARD GAME CAFÉ,3229 HARNEY ST,EXCELLENT,8/15/2018,MEDIUM
Spin! Neapolitan Pizza,17540 Wright St,STANDARD,8/9/2018,HIGH
SPIRIT WORLD,6680 CENTER ST,EXCELLENT,9/21/2018,HIGH
SPRING INN BAR,2703 S 10 ST,EXCELLENT,1/3/2018,LOW
Spring Lake Elementary,4215 S 20th,SUPERIOR,8/21/2018,HIGH
Spring Lake Golf Snack Bar,4020 Hoctor BLVD,STANDARD,10/17/2017,LOW
Spring Ridge Elementary,17830 Shadow Ridge DR,EXCELLENT,9/19/2018,HIGH
Springville Elementary,7300 N 60th,SUPERIOR,9/4/2018,HIGH
Spruce Street Tavern, 327 N Spruce ST  Valley ,STANDARD,8/28/2017,LOW
ST ANDREWS PUB,6102 MAPLE ST,EXCELLENT,9/14/2018,LOW
ST BERNARD LOUNGE,14457 F ST,STANDARD,9/8/2017,LOW
